А,1299
Б,1780
В,553
Г,1060
Д,1047
Е,107
Ё,2
Ж,423
З,674
И,605
Й,4
К,2444
Л,743
М,1367
Н,500
О,845
П,1885
Р,612
С,2150
Т,1059
У,287
Ф,204
Х,299
Ц,245
Ч,735
Ш,291
Щ,162
Э,238
Ю,148
Я,227
